Composite List,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
1481,M9_C0191,,Sodium Chloride,NaCl,0.4 M,HEPES,0.1 M,7.0,PEG 400,40% (v/v),,,,
1485,M9_C0192,,Sodium Chloride,NaCl,0.4 M,HEPES,0.1 M,7.0,PEG 400,60% (v/v),,,,
3,M9_C0193,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
7,M9_C0194,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,28% (v/v),,,,
11,M9_C0195,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,36% (v/v),,,,
15,M9_C0196,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
19,M9_C0197,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,28% (v/v),,,,
23,M9_C0198,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,18% (v/v),,,,
27,M9_C0199,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.3 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
31,M9_C0200,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.3 M,TRIS,0.1 M,8.5,PEG 400,28% (v/v),,,,
35,M9_C0201,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.3 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
39,M9_C0202,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
43,M9_C0203,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,14% (v/v),,,,
47,M9_C0204,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
195,M9_C0205,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,15% (v/v),,,,
199,M9_C0206,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,25% (v/v),,,,
203,M9_C0207,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.5 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
207,M9_C0208,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.25 M,TRIS,0.1 M,8.5,PEG 400,14% (v/v),,,,
211,M9_C0209,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.5 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
215,M9_C0210,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.5 M,TRIS,0.1 M,8.5,PEG 400,15% (v/v),,,,
219,M9_C0211,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.25 M,TRIS,0.1 M,8.5,PEG 400,12.5% (v/v),,,,
223,M9_C0212,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
227,M9_C0213,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,TRIS,0.1 M,8.5,PEG 400,28% (v/v),,,,
231,M9_C0214,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,TRIS,0.1 M,8.5,PEG 400,36% (v/v),,,,
235,M9_C0215,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
239,M9_C0216,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.025 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
387,M9_C0217,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
391,M9_C0218,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
395,M9_C0219,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
399,M9_C0220,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
403,M9_C0221,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
407,M9_C0222,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
411,M9_C0223,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
415,M9_C0224,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
419,M9_C0225,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
423,M9_C0226,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
427,M9_C0227,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
431,M9_C0228,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
579,M9_C0229,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
583,M9_C0230,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
587,M9_C0231,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
591,M9_C0232,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
595,M9_C0233,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
599,M9_C0234,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
603,M9_C0235,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
607,M9_C0236,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,TRIS,0.1 M,8.5,PEG 400,60% (v/v),,,,
611,M9_C0237,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
615,M9_C0238,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
619,M9_C0239,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
623,M9_C0240,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
771,M9_C0241,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
775,M9_C0242,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
779,M9_C0243,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
783,M9_C0244,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
787,M9_C0245,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
791,M9_C0246,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
795,M9_C0247,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
799,M9_C0248,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
803,M9_C0249,,Ammonium Sulfate ,(NH4)2SO4,0.4 M,TRIS,0.1 M,8.5,PEG 400,15% (v/v),,,,
807,M9_C0250,,Ammonium Sulfate ,(NH4)2SO4,0.5 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
811,M9_C0251,,Ammonium Sulfate ,(NH4)2SO4,0.5 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
815,M9_C0252,,Ammonium Sulfate ,(NH4)2SO4,0.25 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
963,M9_C0253,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
967,M9_C0254,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
971,M9_C0255,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
975,M9_C0256,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.1 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
979,M9_C0257,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
983,M9_C0258,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
987,M9_C0259,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
991,M9_C0260,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.2 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
995,M9_C0261,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
999,M9_C0262,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1003,M9_C0263,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1007,M9_C0264,,Calcium Chloride dihydrate,CaCl2 * 2H2O,0.4 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
1155,M9_C0265,,Potassium Chloride,KCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1159,M9_C0266,,Potassium Chloride,KCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1163,M9_C0267,,Potassium Chloride,KCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1167,M9_C0268,,Potassium Chloride,KCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
1171,M9_C0269,,Potassium Chloride,KCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1175,M9_C0270,,Potassium Chloride,KCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1179,M9_C0271,,Potassium Chloride,KCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1183,M9_C0272,,Potassium Chloride,KCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
1187,M9_C0273,,Potassium Chloride,KCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1191,M9_C0274,,Potassium Chloride,KCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1195,M9_C0275,,Potassium Chloride,KCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1199,M9_C0276,,Potassium Chloride,KCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,50% (v/v),,,,
1347,M9_C0277,,Sodium Chloride,NaCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1351,M9_C0278,,Sodium Chloride,NaCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1355,M9_C0279,,Sodium Chloride,NaCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1359,M9_C0280,,Sodium Chloride,NaCl,0.1 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
1363,M9_C0281,,Sodium Chloride,NaCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1367,M9_C0282,,Sodium Chloride,NaCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1371,M9_C0283,,Sodium Chloride,NaCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1375,M9_C0284,,Sodium Chloride,NaCl,0.2 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
1379,M9_C0285,,Sodium Chloride,NaCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,20% (v/v),,,,
1383,M9_C0286,,Sodium Chloride,NaCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,30% (v/v),,,,
1387,M9_C0287,,Sodium Chloride,NaCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,40% (v/v),,,,
1391,M9_C0288,,Sodium Chloride,NaCl,0.4 M,TRIS,0.1 M,8.5,PEG 400,10% (v/v),,,,
99,M9_C0289,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
103,M9_C0290,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
107,M9_C0291,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,28% (w/v),,,,
111,M9_C0292,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,34% (w/v),,,,
115,M9_C0293,,Ammonium Sulfate ,(NH4)2SO4,0.025 M,Sodium Citrate,0.1 M,5.6,PEG 4000,10% (w/v),,,,
119,M9_C0294,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
123,M9_C0295,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
127,M9_C0296,,Ammonium Sulfate ,(NH4)2SO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,14% (w/v),,,,
131,M9_C0297,,Ammonium Sulfate ,(NH4)2SO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,17% (w/v),,,,
135,M9_C0298,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,10% (w/v),,,,
139,M9_C0299,,Ammonium Sulfate ,(NH4)2SO4,0.25 M,Sodium Citrate,0.1 M,5.6,PEG 4000,10% (w/v),,,,
143,M9_C0300,,Ammonium Sulfate ,(NH4)2SO4,0.25 M,Sodium Citrate,0.1 M,5.6,PEG 4000,14% (w/v),,,,
291,M9_C0301,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
295,M9_C0302,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
299,M9_C0303,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
303,M9_C0304,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,28% (w/v),,,,
307,M9_C0305,,Ammonium Sulfate ,(NH4)2SO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,34% (w/v),,,,
311,M9_C0306,,Ammonium Sulfate ,(NH4)2SO4,0.025M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
315,M9_C0307,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
319,M9_C0308,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
323,M9_C0309,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
327,M9_C0310,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,28% (w/v),,,,
331,M9_C0311,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,34% (w/v),,,,
335,M9_C0312,,Sodium Chloride,NaCl,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,40% (w/v),,,,
483,M9_C0313,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
487,M9_C0314,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
491,M9_C0315,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,28% (w/v),,,,
495,M9_C0316,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,34% (w/v),,,,
499,M9_C0317,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.025 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
503,M9_C0318,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
507,M9_C0319,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
511,M9_C0320,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,28% (w/v),,,,
515,M9_C0321,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,17% (w/v),,,,
519,M9_C0322,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,10% (w/v),,,,
523,M9_C0323,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 4000,10% (w/v),,,,
527,M9_C0324,,Ammonium Phosphate-dibasic,(NH4)2HPO4,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 4000,14% (w/v),,,,
675,M9_C0325,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,MES,0.1 M,6.0,PEG 4000,16% (w/v),,,,
679,M9_C0326,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,MES,0.1 M,6.0,PEG 4000,20% (w/v),,,,
683,M9_C0327,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,MES,0.1 M,6.0,PEG 4000,28% (w/v),,,,
687,M9_C0328,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,MES,0.1 M,6.0,PEG 4000,34% (w/v),,,,
691,M9_C0329,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.05 M,MES,0.1 M,6.0,PEG 4000,40% (w/v),,,,
695,M9_C0330,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,MES,0.1 M,6.0,PEG 4000,16% (w/v),,,,
699,M9_C0331,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,MES,0.1 M,6.0,PEG 4000,20% (w/v),,,,
703,M9_C0332,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.1 M,MES,0.1 M,6.0,PEG 4000,28% (w/v),,,,
707,M9_C0333,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.025 M,MES,0.1 M,6.0,PEG 4000,8.5% (w/v),,,,
711,M9_C0334,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.025 M,MES,0.1 M,6.0,PEG 4000,10% (w/v),,,,
715,M9_C0335,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.3 M,MES,0.1 M,6.0,PEG 4000,20% (w/v),,,,
719,M9_C0336,,Magnesium Chloride hexahydrate,MgCl2 * 6H2O,0.075 M,MES,0.1 M,6.0,PEG 4000,7% (w/v),,,,
867,M9_C0337,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
871,M9_C0338,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
875,M9_C0339,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
879,M9_C0340,,Sodium Phosphate monobasic,NaH2PO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
883,M9_C0341,,Sodium Phosphate monobasic,NaH2PO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
887,M9_C0342,,Sodium Phosphate monobasic,NaH2PO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
891,M9_C0343,,Sodium Phosphate monobasic,NaH2PO4,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,8% (w/v),,,,
895,M9_C0344,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
899,M9_C0345,,Sodium Phosphate monobasic,NaH2PO4,0.4 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
903,M9_C0346,,Sodium Phosphate monobasic,NaH2PO4,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,12% (w/v),,,,
907,M9_C0347,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,8% (w/v),,,,
911,M9_C0348,,Sodium Phosphate monobasic,NaH2PO4,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,9.5% (w/v),,,,
1059,M9_C0349,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1063,M9_C0350,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1067,M9_C0351,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1071,M9_C0352,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
1075,M9_C0353,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1079,M9_C0354,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1083,M9_C0355,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.05 M,Sodium Citrate,0.1 M,5.6,PEG 4000,8% (w/v),,,,
1087,M9_C0356,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
1091,M9_C0357,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.3 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1095,M9_C0358,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.3 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1099,M9_C0359,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1103,M9_C0360,,Lithium Sulfate monohydrate,Li2SO4 * H2O,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 4000,19% (w/v),,,,
1251,M9_C0361,,Potassium Chloride,KCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1255,M9_C0362,,Potassium Chloride,KCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1259,M9_C0363,,Potassium Chloride,KCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1263,M9_C0364,,Potassium Chloride,KCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,40% (w/v),,,,
1267,M9_C0365,,Potassium Chloride,KCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1271,M9_C0366,,Potassium Chloride,KCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1275,M9_C0367,,Potassium Chloride,KCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1279,M9_C0368,,Potassium Chloride,KCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
1283,M9_C0369,,Potassium Chloride,KCl,0.3 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1287,M9_C0370,,Potassium Chloride,KCl,0.3 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1291,M9_C0371,,Potassium Chloride,KCl,0.3 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1295,M9_C0372,,Potassium Chloride,KCl,0.3 M,MES,0.1 M,6.0,PEG 4000,38% (w/v),,,,
1443,M9_C0373,,Sodium Chloride,NaCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1447,M9_C0374,,Sodium Chloride,NaCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1451,M9_C0375,,Sodium Chloride,NaCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1455,M9_C0376,,Sodium Chloride,NaCl,0.15 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
1459,M9_C0377,,Sodium Chloride,NaCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,16% (w/v),,,,
1463,M9_C0378,,Sodium Chloride,NaCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,24% (w/v),,,,
1467,M9_C0379,,Sodium Chloride,NaCl,0.2 M,Sodium Citrate,0.1 M,5.6,PEG 4000,32% (w/v),,,,
1471,M9_C0380,,Sodium Chloride,NaCl,0.1 M,Sodium Citrate,0.1 M,5.6,PEG 4000,20% (w/v),,,,
