Composite List,,,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
1449,21_C0183,HR Ionic Liquid 15,1-n-Butyl-3-methylimidazolium n-octylsulfate,C16H32N2O4S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1453,21_C0184,HR Ionic Liquid 16,1-Ethyl-3-methylimidazolium thiocyanate,C7H11N3S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1457,21_C0185,HR Ionic Liquid 17,1-Ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1461,21_C0186,HR Ionic Liquid 18,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",C9H17BF4N2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1465,21_C0187,HR Ionic Liquid 19,1-Butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1469,21_C0188,HR Ionic Liquid 20,1-Butyl-3-methylimidazolium trifluoroacetate,C10H15F3N2O2,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1473,21_C0189,HR Ionic Liquid 21,1-Ethyl-3-methylimidazolium trifluoromethanesulfonate,C7H11F3N2O3S,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1477,21_C0190,HR Ionic Liquid 22,Tetrabutylphosphonium bromide,C16H36BrP,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1481,21_C0191,HR Ionic Liquid 23,Triisobutylmethylphosphonium tosylate,C20H37O3PS,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
1485,21_C0192,HR Ionic Liquid 24,1-Butylpyridinium chloride,C9H14ClN,5% w/v,BIS-TRIS propane,0.09 M,8.8,PEG 3350,27% (w/v),,,,,,
3,21_C0273,,Potassium carbonate,K2CO3,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
7,21_C0275,,Potassium carbonate,K2CO3,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
11,21_C0276,,Potassium chloride,KCl,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
15,21_C0277,,Potassium chloride,KCl,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
19,21_C0287,,Rubidium chloride,RbCl,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
23,21_C0288,,Rubidium chloride,RbCl,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
27,21_C0307,,Ammonium thiocyanate,NH4SCN,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
31,21_C0342,,Potassium carbonate,K2CO3,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
35,21_C0344,,Potassium chloride,KCl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
39,21_C0346,,Potassium nitrate,KNO3,0.1 M,HEPES,0.1 M,7.5,PEG 20000,24% (w/v),,,,,,
43,21_C0348,,Potassium nitrate,KNO3,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
47,21_C0353,,Rubidium chloride,RbCl,0.1 M,CAPS,0.1 M,10,PEG 20000,24% (w/v),,,,,,
195,21_C0355,,Rubidium chloride,RbCl,0.1 M,HEPES,0.1 M,7.5,PEG 20000,24% (w/v),,,,,,
199,21_C0379,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,HEPES,0.1 M,7.5,PEG 20000,24% (w/v),,,,,,
203,21_C0380,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
207,21_C0385,,Ammonium thiocyanate,NH4SCN,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
211,21_C0422,,Potassium carbonate,K2CO3,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
215,21_C0426,,Potassium nitrate,KNO3,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
219,21_C0427,,Potassium nitrate,KNO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
223,21_C0431,,Rubidium chloride,RbCl,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
227,21_C0453,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,TAPS,0.1 M,9,PEG 8000,20% (w/v),,,,,,
231,21_C0461,,Ammonium thiocyanate,NH4SCN,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
235,21_C0507,,Potassium carbonate,K2CO3,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
239,21_C0508,,Potassium carbonate,K2CO3,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
387,21_C0509,,Potassium chloride,KCl,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
391,21_C0510,,Potassium chloride,KCl,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
395,21_C0512,,Potassium nitrate,KNO3,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
399,21_C0513,,Potassium nitrate,KNO3,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
403,21_C0521,,Rubidium chloride,RbCl,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
407,21_C0522,,Rubidium chloride,RbCl,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
411,21_C0540,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,40% (w/v),,,,,,
415,21_C0541,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
419,21_C0584,,Potassium carbonate,K2CO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
423,21_C0586,,Potassium chloride,KCl,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
427,21_C0588,,Potassium nitrate,KNO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
431,21_C0593,,Rubidium chloride,RbCl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
579,21_C0629,,Ammonium phosphate-monobasic,NH4H2PO4,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
583,21_C0630,,Ammonium phosphate-monobasic,NH4H2PO4,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
587,21_C0638,,Lithium bromide,LiBr,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
591,21_C0649,,Potassium carbonate,K2CO3,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
595,21_C0651,,Potassium carbonate,K2CO3,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
599,21_C0652,,Potassium chloride,KCl,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
603,21_C0655,,Potassium nitrate,KNO3,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
607,21_C0663,,Rubidium chloride,RbCl,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
611,21_C0666,,Rubidium chloride,RbCl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,40% (w/v),,,,,,
615,21_C0680,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,40% (w/v),,,,,,
619,21_C0681,,Lithium sulfate monohydrate,Li2SO4*H2O,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
623,21_C0684,,Ammonium thiocyanate,NH4SCN,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
771,21_C0285,,Potassium thiocyanate,KSCN,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
775,21_C0290,,Sodium bromide,NaBr,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
779,21_C0291,,Sodium chloride,NaCl,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
783,21_C0293,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
787,21_C0295,,Sodium nitrate,NaNO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
791,21_C0313,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
795,21_C0326,,Calcium acetate,Ca(C2H3O2)2,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
799,21_C0337,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
803,21_C0351,,Potassium thiocyanate,KSCN,0.1 M,CAPS,0.1 M,10,PEG 20000,24% (w/v),,,,,,
807,21_C0360,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,CAPS,0.1 M,10,PEG 20000,24% (w/v),,,,,,
811,21_C0361,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,HEPES,0.1 M,7.5,PEG 20000,24% (w/v),,,,,,
815,21_C0362,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
963,21_C0363,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
967,21_C0365,,Sodium nitrate,NaNO3,0.1 M,HEPES,0.1 M,7.5,PEG 20000,24% (w/v),,,,,,
971,21_C0366,,Sodium nitrate,NaNO3,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
975,21_C0389,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
979,21_C0405,,Calcium acetate,Ca(C2H3O2)2,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
983,21_C0418,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
987,21_C0434,,Sodium chloride,NaCl,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
991,21_C0437,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
995,21_C0438,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,TAPS,0.1 M,9,PEG 8000,20% (w/v),,,,,,
999,21_C0441,,Sodium nitrate,NaNO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
1003,21_C0443,,Sodium nitrate,NaNO3,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
1007,21_C0465,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,TAPS,0.1 M,9,PEG 8000,20% (w/v),,,,,,
1155,21_C0467,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
1159,21_C0494,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
1163,21_C0495,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
1167,21_C0523,,Sodium bromide,NaBr,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
1171,21_C0524,,Sodium bromide,NaBr,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
1175,21_C0525,,Sodium bromide,NaBr,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
1179,21_C0527,,Sodium chloride,NaCl,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
1183,21_C0560,,Calcium acetate,Ca(C2H3O2)2,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
1187,21_C0571,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
1191,21_C0573,,Magnesium sulfate heptahydrate,MgSO4*7H2O,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
1195,21_C0591,,Potassium thiocyanate,KSCN,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
1199,21_C0592,,Potassium thiocyanate,KSCN,0.1 M,HEPES,0.1 M,7.5,PEG 4000,20% (w/v),,,,,,
1347,21_C0594,,Sodium bromide,NaBr,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
1351,21_C0597,,Sodium chloride,NaCl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
1355,21_C0598,,Sodium chloride,NaCl,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
1359,21_C0599,,Sodium chloride,NaCl,0.1 M,HEPES,0.1 M,7.5,PEG 4000,20% (w/v),,,,,,
1363,21_C0600,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
1367,21_C0620,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
1371,21_C0660,,Potassium thiocyanate,KSCN,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,40% (w/v),,,,,,
1375,21_C0668,,Sodium bromide,NaBr,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
1379,21_C0670,,Sodium molybdate dihydrate,Na2MoO4*2H2O,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
1383,21_C0672,,Sodium nitrate,NaNO3,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
1387,21_C0691,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,40% (w/v),,,,,,
1391,21_C0694,,Magnesium nitrate hexahydrate,Mg(NO3)2*6H2O,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
99,21_C0245,,Ammonium nitrate,NH4NO3,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
103,21_C0248,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
107,21_C0249,,Ammonium sulfate,(NH4)2SO4,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
111,21_C0255,,Lithium chloride,LiCl,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
115,21_C0257,,Lithium chloride,LiCl,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
119,21_C0266,,Potassium acetate,KC2H3O2,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
123,21_C0267,,Potassium acetate,KC2H3O2,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
127,21_C0284,,Potassium phosphate-monobasic,KH2PO4,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
131,21_C0305,,Potassium phosphate-tribasic,K3PO4,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
135,21_C0306,,Potassium phosphate-tribasic,K3PO4,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
139,21_C0316,,Ammonium chloride,NH4Cl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
143,21_C0321,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
291,21_C0338,,Potassium acetate,KC2H3O2,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
295,21_C0349,,Potassium phosphate-monobasic,KH2PO4,0.1 M,TAPS,0.1 M,9,PEG 20000,24% (w/v),,,,,,
299,21_C0393,,Ammonium chloride,NH4Cl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
303,21_C0395,,Ammonium nitrate,NH4NO3,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
307,21_C0400,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,TAPS,0.1 M,9,PEG 8000,20% (w/v),,,,,,
311,21_C0402,,Ammonium sulfate,(NH4)2SO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
315,21_C0403,,Ammonium sulfate,(NH4)2SO4,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
319,21_C0412,,Lithium chloride,LiCl,0.1 M,TAPS,0.1 M,9,PEG 8000,20% (w/v),,,,,,
323,21_C0419,,Potassium acetate,KC2H3O2,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
327,21_C0429,,Potassium phosphate-monobasic,KH2PO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
331,21_C0456,,Potassium phosphate-tribasic,K3PO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
335,21_C0457,,Potassium phosphate-tribasic,K3PO4,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
483,21_C0475,,Ammonium nitrate,NH4NO3,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
487,21_C0476,,Ammonium nitrate,NH4NO3,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,40% (w/v),,,,,,
491,21_C0480,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
495,21_C0483,,Ammonium sulfate,(NH4)2SO4,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
499,21_C0491,,Lithium chloride,LiCl,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
503,21_C0501,,Potassium acetate,KC2H3O2,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,40% (w/v),,,,,,
507,21_C0515,,Potassium phosphate-monobasic,KH2PO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,40% (w/v),,,,,,
511,21_C0518,,Potassium phosphate-monobasic,KH2PO4,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
515,21_C0549,,Ammonium chloride,NH4Cl,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
519,21_C0556,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
523,21_C0557,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
527,21_C0558,,Ammonium sulfate,(NH4)2SO4,0.1 M,HEPES,0.1 M,7.5,PEG 4000,20% (w/v),,,,,,
675,21_C0559,,Ammonium sulfate,(NH4)2SO4,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
679,21_C0566,,Lithium chloride,LiCl,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
683,21_C0568,,Lithium chloride,LiCl,0.1 M,HEPES,0.1 M,7.5,PEG 4000,20% (w/v),,,,,,
687,21_C0615,,Potassium phosphate-tribasic,K3PO4,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
691,21_C0623,,Ammonium chloride,NH4Cl,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
695,21_C0624,,Ammonium chloride,NH4Cl,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,40% (w/v),,,,,,
699,21_C0625,,Ammonium nitrate,NH4NO3,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
703,21_C0627,,Ammonium nitrate,NH4NO3,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
707,21_C0628,,Ammonium nitrate,NH4NO3,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
711,21_C0631,,Ammonium phosphate-dibasic,(NH4)2HPO4,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
715,21_C0632,,Ammonium sulfate,(NH4)2SO4,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
719,21_C0645,,Potassium acetate,KC2H3O2,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
867,21_C0682,,Potassium phosphate-tribasic,K3PO4,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
871,21_C0238,,Ammonium bromide,NH4Br,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
875,21_C0239,,Ammonium bromide,NH4Br,0.1 M,TAPS,0.1 M,9,PEG 20000,12% (w/v),,,,,,
879,21_C0240,,Ammonium bromide,NH4Br,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
883,21_C0241,,Ammonium bromide,NH4Br,0.1 M,HEPES,0.1 M,7.5,PEG 20000,12% (w/v),,,,,,
887,21_C0262,,Magnesium chloride hexahydrate,MgCl2*6H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
891,21_C0301,,Potassium phosphate dibasic,K2HPO4,0.1 M,CAPS,0.1 M,10,PEG 20000,12% (w/v),,,,,,
895,21_C0302,,Cobalt sulfate heptahydrate,CoSO4*7H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,12% (w/v),,,,,,
899,21_C0314,,Ammonium bromide,NH4Br,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 20000,24% (w/v),,,,,,
903,21_C0369,,Sodium phosphate-monobasic,NaH2PO4,0.1 M,CAPS,0.1 M,10,PEG 20000,24% (w/v),,,,,,
907,21_C0414,,Magnesium chloride hexahydrate,MgCl2*6H2O,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
911,21_C0416,,Magnesium chloride hexahydrate,MgCl2*6H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
1059,21_C0444,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,CAPS,0.1 M,10,PEG 8000,20% (w/v),,,,,,
1063,21_C0448,,Potassium phosphate dibasic,K2HPO4,0.1 M,HEPES,0.1 M,7.5,PEG 8000,20% (w/v),,,,,,
1067,21_C0450,,Potassium phosphate dibasic,K2HPO4,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,20% (w/v),,,,,,
1071,21_C0469,,Ammonium bromide,NH4Br,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,40% (w/v),,,,,,
1075,21_C0497,,Manganese chloride tetrahydrate,MnCl2*4H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 8000,40% (w/v),,,,,,
1079,21_C0533,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,CAPS,0.1 M,10,PEG 8000,40% (w/v),,,,,,
1083,21_C0534,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,TAPS,0.1 M,9,PEG 8000,40% (w/v),,,,,,
1087,21_C0547,,Ammonium bromide,NH4Br,0.1 M,CAPS,0.1 M,10,PEG 4000,20% (w/v),,,,,,
1091,21_C0570,,Magnesium chloride hexahydrate,MgCl2*6H2O,0.1 M,HEPES,0.1 M,7.5,PEG 4000,20% (w/v),,,,,,
1095,21_C0577,,Manganese chloride tetrahydrate,MnCl2*4H2O,0.1 M,BIS-TRIS propane,0.1 M,7,PEG 4000,20% (w/v),,,,,,
1099,21_C0608,,Potassium phosphate dibasic,K2HPO4,0.1 M,TAPS,0.1 M,9,PEG 4000,20% (w/v),,,,,,
1103,21_C0641,,Magnesium chloride hexahydrate,MgCl2*6H2O,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
1251,21_C0674,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,HEPES,0.1 M,7.5,PEG 4000,40% (w/v),,,,,,
1255,21_C0675,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,TAPS,0.1 M,9,PEG 4000,40% (w/v),,,,,,
1259,21_C0676,,Sodium thiosulfate pentahydrate,Na2S2O3*5H2O,0.1 M,CAPS,0.1 M,10,PEG 4000,40% (w/v),,,,,,
1263,21_C0217,,Water Control,,100%,,,,,,,,,,,
1267,21_C0218,,TCEP,,0.02 M,,,,,,,,,,,
1271,21_C0219,,Glycerol,,20% (v/v),,,,,,,,,,,
1275,21_C0220,,Trichloroacetic acid (TCA),,15% (v/v),,,,,,,,,,,
1279,21_C0221,,Ammonium hydroxide,,0.1 M,,,,,,,,,,,
1283,21_C0222,,Acetic acid,,0.1 M,,,,,,,,,,,
1287,21_C0223,HR PCT A1 ,Ammonium sulfate,,2.0 M ,Tris hydrochloride,0.1 M,8.5,,,,,,,,
1291,21_C0224,HR PCT B1 ,Ammonium sulfate,,1.0 M ,Tris hydrochloride,0.1 M,8.5,,,,,,,,
1295,21_C0225,HR PCT A2 ,Magnesium chloride hexahydrate,,0.2 M,Tris hydrochloride,0.1 M,8.5,"Polyethylene glycol 4,000",30%  (w/v),,,,,,
1443,21_C0226,HR PCT B2 ,Magnesium chloride hexahydrate,,0.2 M,Tris hydrochloride,0.1 M,8.5,"Polyethylene glycol 4,000",15%  (w/v),,,,,,
1447,21_C0227,HR Polymer Screen 1,,,,Tacsimate,10% (v/v),7,Jeffamine® ED-2001 pH 7.0,40% (w/v),,,,,,
1451,21_C0228,HR Polymer Screen 2,,,,Tacsimate,10% (v/v),7,Jeffamine® M-600® pH 7.0,40% (v/v),,,,,,
1455,21_C0229,HR Polymer Screen 3,,,,Tacsimate,10% (v/v),7,Ethylene imine polymer,2% (v/v),,,,,,
1459,21_C0230,HR Polymer Screen 11,,,,Tacsimate,10% (v/v),7,"Polyethylene glycol 2,000",40% (w/v),,,,,,
1463,21_C0231,HR Polymer Screen 12,,,,Tacsimate,10% (v/v),7,"Polyethylene glycol 3,000",40% (w/v),,,,,,
